City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Fujin,CN,76.08,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
3,Thompson,CA,66.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
5,Albany,US,67.82,overcast clouds,42.6001,-73.9662,
6,Cape Town,ZA,64.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Lisakovsk,KZ,64.17,light rain,52.5369,62.4936,Gostinitsa Lisakovsk
8,Jamestown,US,67.59,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
9,Ziro,IN,60.33,scattered clouds,27.6333,93.8333,Ka-ngam homestay
10,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
14,Belyy Yar,RU,73.29,clear sky,53.6039,91.3903,Pasportnyy Stol
16,Rikitea,PF,73.18,clear sky,-23.1203,-134.9692,People ThankYou
18,Lagoa,PT,66.31,overcast clouds,39.05,-27.9833,Casa Das Faias
19,Hay River,CA,62.58,light rain,60.8156,-115.7999,Ptarmigan Inn
20,Yambio,SS,79.05,light rain,4.5721,28.3955,Naivasha Hotel
22,High Level,CA,60.91,light rain,58.5169,-117.136,Days Inn by Wyndham High Level
25,Saint-Philippe,RE,75.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
26,Bredasdorp,ZA,66.27,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
29,Vuktyl,RU,67.46,scattered clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
32,Basingstoke,GB,70.3,broken clouds,51.2625,-1.0871,"Crowne Plaza Basingstoke, an IHG Hotel"
33,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
35,Kamaishi,JP,69.48,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
36,Avera,US,75.7,clear sky,33.194,-82.5271,
39,Mattru,SL,79.66,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
42,San Felipe,VE,75.85,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
43,Zyryanka,RU,77.63,clear sky,65.75,150.85,
44,Hermanus,ZA,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
47,Wajima,JP,72.97,clear sky,37.4,136.9,Wajiima Onsen Yashio
48,Jinotega,NI,65.35,overcast clouds,13.0917,-86.0018,Camping Piedra Grande
50,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
51,Leh,IN,74.55,scattered clouds,34.1667,77.5833,Hotel Ladakh Greens
54,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
57,Luanda,AO,76.51,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
58,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Atuona,PF,77.07,light rain,-9.8,-139.0333,Villa Enata
62,Cap Malheureux,MU,73.89,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
64,Kruisfontein,ZA,74.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
68,Yellowknife,CA,60.3,overcast clouds,62.456,-114.3525,The Explorer Hotel
69,Camacha,PT,75.96,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
70,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
72,Dengfeng,CN,77.61,clear sky,34.4553,113.0281,Songshan Dihao Hotel
73,San Quintin,MX,67.08,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
76,Naze,JP,78.57,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
78,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
79,Georgetown,MY,76.95,light rain,5.4112,100.3354,Cititel Penang
80,Wakkanai,JP,64.51,few clouds,45.4094,141.6739,Hyōsetsu-sō
81,Benguela,AO,77.85,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
84,Sotnikovo,RU,75.29,few clouds,51.8845,107.4791,Malinki
86,Alyangula,AU,71.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
89,Quatre Cocos,MU,73.51,broken clouds,-20.2078,57.7625,Sunrise Attitude Resort (previously Emeraude Beach Attitude)
91,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
92,Pontivy,FR,67.42,overcast clouds,48.0,-3.0,"Frairie du Divit - Chambres d'hôtes et Gîtes à Pontivy en Morbihan, au centre de la Bretagne"
95,Kearney,US,61.36,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
96,Saint-Francois,FR,76.68,broken clouds,46.4154,3.9054,Manoir Du Bonheur
99,Yar-Sale,RU,61.29,overcast clouds,66.8333,70.8333,Yalemd
102,Puerto Del Rosario,ES,74.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
103,Pacific Grove,US,64.8,few clouds,36.6177,-121.9166,Lovers Point Inn
