City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mehamn,NO,71.0357,27.8492,51.31,63,6,12.82,clear sky
1,Ushuaia,AR,-54.8,-68.3,33.46,75,75,21.85,light snow
2,Fujin,CN,47.26,132.0322,76.08,70,100,4.52,overcast clouds
3,Thompson,CA,55.7435,-97.8558,66.36,77,40,4.61,scattered clouds
4,Narsaq,GL,60.9167,-46.05,48.42,93,100,4.34,light rain
5,Albany,US,42.6001,-73.9662,67.82,89,100,2.77,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,64.11,47,20,11.5,few clouds
7,Lisakovsk,KZ,52.5369,62.4936,64.17,90,90,16.53,light rain
8,Jamestown,US,42.097,-79.2353,67.59,93,75,3.0,broken clouds
9,Ziro,IN,27.6333,93.8333,60.33,96,27,0.85,scattered clouds
10,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,76,94,11.07,overcast clouds
11,Nikolskoye,RU,59.7035,30.7861,93.09,24,10,7.61,clear sky
12,Nanortalik,GL,60.1432,-45.2371,43.21,95,100,7.78,light rain
13,Ternate,ID,0.8,127.4,80.24,81,100,3.96,overcast clouds
14,Belyy Yar,RU,53.6039,91.3903,73.29,56,0,4.47,clear sky
15,Pangnirtung,CA,66.1451,-65.7125,49.24,66,7,4.23,clear sky
16,Rikitea,PF,-23.1203,-134.9692,73.18,81,7,17.47,clear sky
17,Brae,GB,60.3964,-1.353,58.91,74,100,8.52,overcast clouds
18,Lagoa,PT,39.05,-27.9833,66.31,69,92,15.26,overcast clouds
19,Hay River,CA,60.8156,-115.7999,62.58,82,75,8.05,light rain
20,Yambio,SS,4.5721,28.3955,79.05,66,100,5.7,light rain
21,Kaitangata,NZ,-46.2817,169.8464,46.92,84,92,7.81,overcast clouds
22,High Level,CA,58.5169,-117.136,60.91,77,90,6.91,light rain
23,Bluff,NZ,-46.6,168.3333,46.54,75,100,11.1,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,32.11,93,40,20.71,scattered clouds
25,Saint-Philippe,RE,-21.3585,55.7679,75.22,79,39,14.74,light rain
26,Bredasdorp,ZA,-34.5322,20.0403,66.27,39,6,5.75,clear sky
27,Severo-Kurilsk,RU,50.6789,156.125,51.62,96,100,7.29,overcast clouds
28,Khatanga,RU,71.9667,102.5,49.23,40,100,11.32,overcast clouds
29,Vuktyl,RU,63.8567,57.3094,67.46,38,35,9.06,scattered clouds
30,Egvekinot,RU,66.3167,-179.1667,47.3,84,86,3.42,overcast clouds
31,Butaritari,KI,3.0707,172.7902,81.36,78,100,12.08,moderate rain
32,Basingstoke,GB,51.2625,-1.0871,70.3,77,75,3.0,broken clouds
33,Kapaa,US,22.0752,-159.319,79.12,80,40,4.0,light rain
34,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,64,75,13.76,broken clouds
35,Kamaishi,JP,39.2667,141.8833,69.48,99,100,4.97,overcast clouds
36,Avera,US,33.194,-82.5271,75.7,76,0,8.59,clear sky
37,Saskylakh,RU,71.9167,114.0833,46.8,41,20,6.98,few clouds
38,Mount Gambier,AU,-37.8333,140.7667,51.71,62,97,12.66,overcast clouds
39,Mattru,SL,7.6244,-11.8332,79.66,86,94,5.23,moderate rain
40,Leningradskiy,RU,69.3833,178.4167,40.1,89,100,9.69,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,45.75,79,100,2.93,overcast clouds
42,San Felipe,VE,10.3399,-68.7425,75.85,90,100,2.19,overcast clouds
43,Zyryanka,RU,65.75,150.85,77.63,44,0,24.94,clear sky
44,Hermanus,ZA,-34.4187,19.2345,66.79,53,6,7.9,clear sky
45,Tuktoyaktuk,CA,69.4541,-133.0374,52.0,66,100,18.21,overcast clouds
46,Kodiak,US,57.79,-152.4072,51.31,82,90,9.22,moderate rain
47,Wajima,JP,37.4,136.9,72.97,92,3,12.01,clear sky
48,Jinotega,NI,13.0917,-86.0018,65.35,91,100,5.21,overcast clouds
49,Kyrylivka,UA,46.3759,35.3675,80.85,63,44,9.31,scattered clouds
50,Vaini,TO,-21.2,-175.2,71.76,100,40,2.3,scattered clouds
51,Leh,IN,34.1667,77.5833,74.55,21,32,9.42,scattered clouds
52,Sawakin,SD,19.1059,37.3321,100.9,39,7,11.86,clear sky
53,Bukama,CD,-9.2,25.85,90.73,13,1,3.56,clear sky
54,Ribeira Grande,PT,38.5167,-28.7,72.0,56,40,18.41,scattered clouds
55,Sayyan,YE,15.1718,44.3244,80.08,20,78,5.35,broken clouds
56,Busselton,AU,-33.65,115.3333,56.05,68,100,17.74,overcast clouds
57,Luanda,AO,-8.8368,13.2343,76.51,71,1,16.33,clear sky
58,Mahebourg,MU,-20.4081,57.7,73.69,68,40,16.11,scattered clouds
59,Torbay,CA,47.6666,-52.7314,59.77,94,90,6.91,light intensity shower rain
60,Hede,CN,33.7681,120.2517,85.03,85,100,8.12,light rain
61,Atuona,PF,-9.8,-139.0333,77.07,81,34,19.71,light rain
62,Cap Malheureux,MU,-19.9842,57.6142,73.89,68,82,10.0,broken clouds
63,Talnakh,RU,69.4865,88.3972,53.24,41,82,9.62,broken clouds
64,Kruisfontein,ZA,-34.0033,24.7314,74.88,19,0,5.57,clear sky
65,Qaanaaq,GL,77.484,-69.3632,37.71,67,48,2.51,scattered clouds
