City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Guerrero Negro,MX,2021-07-11 10:32:43,27.9769,-114.0611,67.35,85,100,10.89
1,Nome,US,2021-07-11 10:34:24,64.5011,-165.4064,49.15,90,96,3.36
2,New Norfolk,AU,2021-07-11 10:32:52,-42.7826,147.0587,44.71,81,100,2.64
3,Imbituba,BR,2021-07-11 10:38:03,-28.24,-48.6703,57.81,76,1,4.76
4,Provideniya,RU,2021-07-11 10:33:05,64.3833,-173.3,53.28,81,90,2.06
5,Leningradskiy,RU,2021-07-11 10:33:59,69.3833,178.4167,39.56,89,84,9.86
6,Albany,US,2021-07-11 10:30:01,42.6001,-73.9662,60.62,94,84,0.63
7,Mataura,NZ,2021-07-11 10:33:03,-46.1927,168.8643,39.85,96,99,3.22
8,Pevek,RU,2021-07-11 10:32:11,69.7008,170.3133,43.11,75,62,6.22
9,Talnakh,RU,2021-07-11 10:33:11,69.4865,88.3972,52.72,39,59,5.06
10,Cidreira,BR,2021-07-11 10:33:09,-30.1811,-50.2056,58.32,93,7,2.19
11,Marawi,PH,2021-07-11 10:32:39,7.9986,124.2928,70.75,95,99,1.79
12,Ushuaia,AR,2021-07-11 10:32:59,-54.8,-68.3,33.46,75,40,14.97
13,Asau,RO,2021-07-11 10:39:27,46.4333,26.4,86.4,46,2,7.07
14,Kinarut,MY,2021-07-11 10:39:28,5.8231,116.0466,87.82,74,20,4.61
15,College,US,2021-07-11 10:38:02,64.8569,-147.8028,51.75,75,40,0.0
16,Vaini,TO,2021-07-11 10:33:10,-21.2,-175.2,71.76,94,75,3.44
17,Kapaa,US,2021-07-11 10:32:55,22.0752,-159.319,80.92,80,90,3.0
18,Sabha,LY,2021-07-11 10:31:30,27.0377,14.4283,102.7,13,0,7.05
19,Hobart,AU,2021-07-11 10:32:56,-42.8794,147.3294,45.05,83,0,4.0
20,East London,ZA,2021-07-11 10:32:53,-33.0153,27.9116,70.74,28,0,5.75
21,Tongliao,CN,2021-07-11 10:39:28,43.6125,122.2653,85.21,63,26,14.05
22,Port Elizabeth,ZA,2021-07-11 10:33:16,-33.918,25.5701,73.09,37,0,5.75
23,Saskylakh,RU,2021-07-11 10:37:38,71.9167,114.0833,48.47,38,95,9.57
24,Bluff,NZ,2021-07-11 10:33:02,-46.6,168.3333,46.69,74,90,11.32
25,Gander,CA,2021-07-11 10:39:28,48.9682,-54.5906,57.33,82,75,4.61
26,Khatanga,RU,2021-07-11 10:33:42,71.9667,102.5,51.26,37,99,12.28
27,Tripoli,LY,2021-07-11 10:39:29,32.8752,13.1875,82.92,59,0,13.0
28,Sitka,US,2021-07-11 10:33:22,57.0531,-135.33,51.69,82,90,3.44
29,Port Alfred,ZA,2021-07-11 10:33:00,-33.5906,26.891,71.91,27,0,7.61
30,Tasgaon,IN,2021-07-11 10:39:29,17.0333,74.6,75.42,86,95,16.62
31,Bethel,US,2021-07-11 10:37:18,41.3712,-73.414,70.16,93,78,0.87
32,Torbay,CA,2021-07-11 10:33:48,47.6666,-52.7314,61.75,94,90,8.05
33,Maraa,BR,2021-07-11 10:32:02,-1.8333,-65.3667,70.99,99,99,2.62
34,Ponta Do Sol,PT,2021-07-11 10:32:54,32.6667,-17.1,78.71,75,0,1.86
35,Ampanihy,MG,2021-07-11 10:39:29,-24.7,44.75,84.11,24,0,4.59
36,Ballina,AU,2021-07-11 10:39:30,-28.8667,153.5667,58.96,82,75,6.91
37,Punta Arenas,CL,2021-07-11 10:32:55,-53.15,-70.9167,32.11,100,90,17.27
38,Tuatapere,NZ,2021-07-11 10:37:49,-46.1333,167.6833,38.53,91,48,4.05
39,Namibe,AO,2021-07-11 10:37:36,-15.1961,12.1522,72.23,78,0,9.22
40,Rikitea,PF,2021-07-11 10:37:16,-23.1203,-134.9692,73.35,79,0,15.17
41,Gat,IL,2021-07-11 10:31:29,31.61,34.7642,96.4,39,0,13.94
42,Lagodekhi,GE,2021-07-11 10:39:30,41.8268,46.2767,81.5,43,5,5.21
43,Busselton,AU,2021-07-11 10:32:56,-33.65,115.3333,54.05,65,92,17.85
44,Yellowknife,CA,2021-07-11 10:37:19,62.456,-114.3525,59.29,100,75,3.44
45,Hilo,US,2021-07-11 10:31:59,19.7297,-155.09,73.27,94,90,3.44
46,Sao Filipe,CV,2021-07-11 10:33:25,14.8961,-24.4956,71.96,75,65,7.36
47,Cape Town,ZA,2021-07-11 10:32:49,-33.9258,18.4232,64.11,65,20,3.0
48,Ibimirim,BR,2021-07-11 10:39:31,-8.5406,-37.6903,74.1,70,90,14.79
49,Manzanillo,CU,2021-07-11 10:39:31,20.3433,-77.1167,73.26,86,19,4.88
50,Tasiilaq,GL,2021-07-11 10:32:08,65.6145,-37.6368,48.36,97,100,13.02
51,Poum,NC,2021-07-11 10:33:27,-20.2333,164.0167,71.35,67,99,20.24
52,Presidencia Roque Saenz Pena,AR,2021-07-11 10:34:05,-26.7852,-60.4388,58.69,87,67,5.93
53,Hofn,IS,2021-07-11 10:33:21,64.2539,-15.2082,53.62,87,90,8.05
54,Harbour Breton,CA,2021-07-11 10:39:31,47.4833,-55.7983,54.97,92,100,2.39
55,Bay-Khaak,RU,2021-07-11 10:39:32,51.1667,94.5,76.64,46,72,3.58
56,Pacific Grove,US,2021-07-11 10:33:03,36.6177,-121.9166,66.61,96,17,1.99
57,Saldanha,ZA,2021-07-11 10:33:18,-33.0117,17.9442,57.25,61,0,7.31
58,Dikson,RU,2021-07-11 10:37:25,73.5069,80.5464,35.17,99,100,19.71
59,Tuktoyaktuk,CA,2021-07-11 10:33:01,69.4541,-133.0374,53.28,65,100,14.99
60,Zunyi,CN,2021-07-11 10:39:32,27.6867,106.9072,77.38,80,100,10.8
61,Thompson,CA,2021-07-11 10:30:16,55.7435,-97.8558,64.56,77,1,2.3
62,Cherskiy,RU,2021-07-11 10:33:08,68.75,161.3,72.43,53,28,14.72
63,Bolitoc,PH,2021-07-11 10:39:32,15.7395,119.8769,84.34,78,68,3.4
64,Zhangye,CN,2021-07-11 10:33:14,38.9342,100.4517,87.53,23,67,5.28
65,Beringovskiy,RU,2021-07-11 10:37:29,63.05,179.3167,59.52,63,7,8.79
66,Castro,BR,2021-07-11 10:33:17,-24.7911,-50.0119,50.29,81,0,1.54
67,Sept-Iles,CA,2021-07-11 10:39:33,50.2001,-66.3821,57.06,90,75,1.99
68,Bredasdorp,ZA,2021-07-11 10:32:51,-34.5322,20.0403,64.27,51,0,5.75
69,De-Kastri,RU,2021-07-11 10:39:33,51.4667,140.7833,58.24,99,75,6.26
